id,saved_listing_id,airbnb_listing_id,listing_url,title,property_type,bedrooms,baths,accommodates,beds,rating,reviews,similarity_score,pool_score,effective_rank_score,tenure_runs,price_reliability_score,last_nightly_price,status,price_date,lat,lng,amenities,is_weekend,is_holiday
f42e6db5-ab99-4925-8e71-1167b8db1896,bdef28dc-2134-40b8-875d-350f7c28a0fe,1080879190300063087,https://www.airbnb.com/rooms/1080879190300063087?adults=5&check_in=2026-03-30&check_out=2026-04-01&search_mode=regular_search&source_impression_id=p3_1774855087_P3fCEkV-IPzwuaO8&previous_page_section_name=1000&federated_search_id=8b829133-86ee-465a-8917-a1e79d6660c1,2BR Home in Menlo Park Near Stanford University !,entire_home,2.0,,,,4.93,,0.567,0.567,0.567,4.0,1.0,382.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
4b51bdd5-9c79-4258-8e6f-1efe8de59fe3,bdef28dc-2134-40b8-875d-350f7c28a0fe,27433962,https://www.airbnb.com/rooms/27433962?adults=5&check_in=2026-03-30&check_out=2026-04-01&search_mode=regular_search&source_impression_id=p3_1774522533_P3cWajsmXUSqAXIc&previous_page_section_name=1000&federated_search_id=56e00528-629a-4821-b4f3-7c4a9a36fb54,Charming Home nearby Airport/San Jose Downtown/SAP,entire_home,2.0,,,,4.97,,0.567,0.567,0.567,1.0,1.0,232.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
81ad453b-2c40-4e81-9fdd-5b843597e02b,bdef28dc-2134-40b8-875d-350f7c28a0fe,1519632905433239801,https://www.airbnb.com/rooms/1519632905433239801?adults=5&check_in=2026-04-05&check_out=2026-04-07&search_mode=regular_search&source_impression_id=p3_1774568665_P3u2Sf3p8ormR8U5&previous_page_section_name=1000&federated_search_id=cb8babb5-dd9e-4f81-aff5-55aa826cec5e,Boutique 2BR/2BA | Private Garden |nr. Santana Row,entire_home,2.0,2.0,5.0,,5.0,18.0,0.686,0.686,0.686,2.0,1.0,285.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
ba2c153a-babd-4666-af8e-88d1a0a84811,bdef28dc-2134-40b8-875d-350f7c28a0fe,1171475338952791295,https://www.airbnb.com/rooms/1171475338952791295?adults=5&check_in=2026-03-26&check_out=2026-03-28&search_mode=regular_search&source_impression_id=p3_1774568620_P3mrm0IHlW1JZBY-&previous_page_section_name=1000&federated_search_id=cbfb40a8-2af0-499d-9c74-3eb0ed302c96,Cozy house 2BR/2BA Sleep 6 AC+Parking+Wifi+Pet,entire_home,2.0,2.0,6.0,,4.81,109.0,0.68,0.68,0.68,2.0,1.0,239.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
3d980546-1207-4cb3-b63b-a84dae0f8a27,bdef28dc-2134-40b8-875d-350f7c28a0fe,1067042801984986554,https://www.airbnb.com/rooms/1067042801984986554?adults=5&check_in=2026-03-28&check_out=2026-03-30&search_mode=regular_search&source_impression_id=p3_1774568629_P350ZUoMKyTeBCkb&previous_page_section_name=1000&federated_search_id=f1bd0d0e-df38-4dda-968e-83c8aacfb2b4,Nice and tranquil house 7 mins away from SFO,entire_home,2.0,,,,4.82,,0.567,0.567,0.567,2.0,1.0,248.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
d924cec4-3058-4237-b1f2-473fadd2829c,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,660222993467203579,https://www.airbnb.com/rooms/660222993467203579?adults=10&check_in=2026-04-14&check_out=2026-04-16&search_mode=regular_search&source_impression_id=p3_1774836212_P3oXLmEhzhC-n3iw&previous_page_section_name=1000&federated_search_id=7ae35325-bf28-4989-af7d-6bcb3f25b524,Space for all - 5 bedrooms 3 baths. Come Relax!,entire_home,5.0,3.0,16.0,,4.42,161.0,0.666,0.666,0.666,1.0,1.0,291.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
0f39a68c-976f-40b8-bce3-0062e8a3b512,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1305486972883381375,https://www.airbnb.com/rooms/1305486972883381375?adults=10&check_in=2026-04-14&check_out=2026-04-16&search_mode=regular_search&source_impression_id=p3_1774836212_P3FTp8DTqxoWosPI&previous_page_section_name=1000&federated_search_id=7ae35325-bf28-4989-af7d-6bcb3f25b524,Beautifully fully remodeled Fairwood Home,entire_home,5.0,3.0,10.0,,4.88,58.0,0.567,0.567,0.567,1.0,1.0,228.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
703bdd81-093b-4fd4-93c4-f3ceab70fb17,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,40408205,https://www.airbnb.com/rooms/40408205?adults=10&check_in=2026-04-18&check_out=2026-04-20&search_mode=regular_search&source_impression_id=p3_1774836229_P3SEu3SNRcdzJdYm&previous_page_section_name=1000&federated_search_id=6fa37be8-909a-4f67-aa8a-1343ae470b84,The Fun House - Our yellow home on a hill,entire_home,5.0,,,,4.86,,0.567,0.567,0.567,1.0,1.0,480.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
8d857eb4-3d92-48c7-af35-c960db55311a,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,620270370344927399,https://www.airbnb.com/rooms/620270370344927399?adults=10&check_in=2026-04-28&check_out=2026-04-30&search_mode=regular_search&source_impression_id=p3_1774836271_P3QkQMrJ371GTeuC&previous_page_section_name=1000&federated_search_id=4857a067-8193-47a5-b316-2b06963c1eca,Castle House with an Ocean View!,entire_home,5.0,,,,4.64,,0.567,0.567,0.567,1.0,1.0,670.0,active,2026-03-31,0.0,0.0,[],0.0,0.0
295e4827-9711-4b76-b7a7-cdfa1c7d436b,ebe204d1-1bf3-4d42-9e1e-5cc3368acbc1,1476337820357866514,https://www.airbnb.com/rooms/1476337820357866514?adults=10&check_in=2026-03-31&check_out=2026-04-02&search_mode=regular_search&source_impression_id=p3_1774836151_P3FoWwd_ACHcuelf&previous_page_section_name=1000&federated_search_id=54725a29-1220-4f91-92c8-a4bedcaffa90,Luxury retreat near Martha Lake w/ detached studio,entire_home,5.0,,,,5.0,,0.547,0.547,0.547,1.0,1.0,558.5,active,2026-03-31,0.0,0.0,[],0.0,0.0
