feature,importance,weight,gain,cover,total_gain,total_cover
location_city_San Carlos,0.0030004065483808517,83.0,0.03721925988793373,930.499267578125,3.089198589324951,77231.4375
location_city_Miami,0.0029993297066539526,20.0,0.037205904722213745,1809.4583740234375,0.7441180944442749,36189.16796875
location_city_Hanford,0.0029753504786640406,99.0,0.03690844774246216,691.3804321289062,3.6539363861083984,68446.6640625
location_city_Fremont,0.0024896967224776745,31.0,0.030884038656949997,1619.81787109375,0.9574052095413208,50214.35546875
location_city_Mountain View,0.0024162146728485823,86.0,0.029972512274980545,1506.0516357421875,2.5776360034942627,129520.4453125
days_until_stay,0.002266181632876396,4473.0,0.028111392632126808,252.52716064453125,125.74225616455078,1129554.0
day_of_month_bucket_week_4,0.002087857574224472,163.0,0.025899328291416168,145.42343139648438,4.221590518951416,23704.01953125
day_of_week_mon,0.0017150584608316422,290.0,0.021274853497743607,238.88572692871094,6.169707775115967,69276.859375
day_of_month_bucket_month_end,0.0016736910911276937,80.0,0.020761702209711075,382.18145751953125,1.6609362363815308,30574.515625
day_of_week_tue,0.001606590230949223,235.0,0.01992933265864849,305.0085144042969,4.6833930015563965,71677.0
location_city_Stateline,0.0013239930849522352,50.0,0.016423789784312248,2025.413330078125,0.8211894631385803,101270.6640625
location_city_Alki,0.0012301614042371511,105.0,0.01525983214378357,2060.329833984375,1.6022824048995972,216334.640625
location_city_Sunnyvale,0.0011754387523978949,69.0,0.014581011608242989,1165.3856201171875,1.0060898065567017,80411.609375
day_of_week_thu,0.00116245960816741,506.0,0.014420008286833763,300.2052001953125,7.2965240478515625,151903.828125
location_city_Lake Forest Park,0.0011611508671194315,114.0,0.01440377440303564,776.374755859375,1.6420302391052246,88506.71875
month_apr,0.001149789895862341,119.0,0.014262843877077103,302.8450012207031,1.697278380393982,36038.5546875
day_of_month_bucket_week_3,0.0011463294504210353,353.0,0.014219917356967926,220.7545623779297,5.0196309089660645,77926.359375
property_type_private_room,0.0011060930555686355,2.0,0.013720795512199402,1456.928466796875,0.027441591024398804,2913.85693359375
location_city_Downtown Seattle,0.0009349022875539958,36.0,0.011597218923270702,2235.535400390625,0.4174998700618744,80479.2734375
lead_time_bucket_days_4_7,0.0009215326281264424,177.0,0.011431371793150902,276.95635986328125,2.023352861404419,49021.27734375
day_of_month_bucket_week_2,0.0009180287015624344,349.0,0.011387906968593597,135.69859313964844,3.974379539489746,47358.80859375
lead_time_bucket_days_8_14,0.0009156731539405882,253.0,0.011358686722815037,210.10269165039062,2.8737478256225586,53155.98046875
location_city_Judkins Park,0.0008765483507886529,54.0,0.01087335404008627,1957.560302734375,0.587161123752594,105708.2578125
day_of_week_wed,0.0008364474051631987,341.0,0.010375912301242352,169.24853515625,3.5381860733032227,57713.75
location_city_Belltown,0.0008111537317745388,93.0,0.010062150657176971,785.9862060546875,0.9357799887657166,73096.71875
location_city_Daly City,0.0008027750300243497,1.0,0.009958215057849884,16.08300018310547,0.009958215057849884,16.08300018310547
day_of_week_fri,0.0007304683676920831,345.0,0.009061269462108612,271.8733825683594,3.1261379718780518,93796.3125
location_city_East Palo Alto,0.0007125678239390254,31.0,0.008839217945933342,655.3483276367188,0.27401575446128845,20315.798828125
location_city_Bothell,0.0006890511140227318,93.0,0.008547499775886536,1320.6722412109375,0.7949174642562866,122822.515625
lead_time_bucket_days_1_3,0.0006696767522953451,120.0,0.008307165466248989,216.17776489257812,0.9968599081039429,25941.33203125
