bedrooms,baths,accommodates,beds,similarity_score,pool_score,effective_rank_score,price_reliability_score,rating,reviews,tenure_runs,is_weekend,is_holiday,lat,lng,has_wifi,has_kitchen,has_washer,has_dryer,has_ac,has_heating,has_pool,has_hot_tub,has_free_parking,has_ev_charger,has_gym,has_bbq,property_type_entire_home,debug_price_date,last_nightly_price
3.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,273.5
3.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,211.5
3.0,0.0,0.0,0.0,0.558,0.558,0.558,1.0,4.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,230.0
3.0,0.0,0.0,0.0,0.548,0.548,0.548,1.0,4.98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,291.0
3.0,0.0,0.0,0.0,0.548,0.548,0.548,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,234.0
2.0,2.0,5.0,0.0,0.686,0.686,0.686,1.0,4.71,169.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,200.0
2.0,2.0,6.0,0.0,0.669,0.669,0.669,1.0,4.69,124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,288.5
2.0,2.0,6.0,0.0,0.567,0.567,0.567,1.0,4.95,165.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,345.5
2.0,1.0,6.0,0.0,0.567,0.567,0.567,1.0,4.88,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,331.0
2.0,2.0,6.0,0.0,0.567,0.567,0.567,1.0,4.95,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,359.0
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,257.0
2.0,2.0,5.0,0.0,0.686,0.686,0.686,1.0,4.82,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,211.5
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.88,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,336.0
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,362.5
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,355.5
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,380.0
2.0,0.0,0.0,0.0,0.567,0.567,0.567,1.0,4.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,354.0
2.0,0.0,0.0,0.0,0.549,0.549,0.549,1.0,4.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-03-31,255.0
